Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Retweet Count,Country
2021-03-11 11:24:23+00:00,1369972465397551106,"As we face the devastation caused by the coronavirus, as we undertake the arduous journey to rebuild our country and restore the livelihoods of our people, we can be certain that the institution of traditional leadership will be a firm &amp; unwavering ally.

https://t.co/eE9RiMizjj",CyrilRamaphosa,28,12,2,South Africa
2021-03-09 08:25:41+00:00,1369202717453934592,"With the onset of the coronavirus pandemic, the work of Proudly South African has taken on even greater significance.

#ButLocal 🇿🇦 https://t.co/yf8ri0cfR1",CyrilRamaphosa,24,3,5,South Africa
2021-03-08 05:01:42+00:00,1368788998332776449,"Fittingly, the theme of this year’s #InternationalWomensDay is women’s leadership and achieving an equal future in a COVID-19 world. Since the pandemic reached South Africa, the women of South Africa have played a pivotal role in the country’s response. https://t.co/Gxbz4N63mY https://t.co/Ni4PRBrUdO",CyrilRamaphosa,380,128,89,South Africa
2021-03-04 08:33:06+00:00,1367392645073534976,"Your Majesties,
Members of this House,
 
The coronavirus pandemic will continue to be with us for some time to come.
 
The task of rebuilding our country is an immense one.
 
#NHTLOpening 
https://t.co/GWicQhgQSy",CyrilRamaphosa,25,19,6,South Africa
2021-03-04 08:30:10+00:00,1367391907912024066,"As we emerge from the second wave of COVID-19 infections, our focus now is on recovery and rebuilding.
 
#NHTLOpening
https://t.co/GWicQhgQSy",CyrilRamaphosa,22,5,6,South Africa
2021-03-04 08:26:15+00:00,1367390923596984321,"The National House partnered with the Solidarity Fund to implement the Farming Inputs Voucher project, which helped mitigate the impact of the pandemic on traditional farming communities.

https://t.co/GWicQhgQSy",CyrilRamaphosa,31,9,13,South Africa
2021-03-04 08:24:52+00:00,1367390573196419073,"I want to commend the National House of Traditional Leaders, the provincial houses and Contralesa for your management of the customary initiation process during the pandemic.

https://t.co/GWicQhgQSy",CyrilRamaphosa,36,6,8,South Africa
2021-03-04 08:21:11+00:00,1367389647056306176,"The coronavirus has claimed the lives of over 2.5 million people worldwide, and over 50,000 in our own country.
 
I would like to express my gratitude to you as traditional leaders for joining government to fight the pandemic.

https://t.co/GWicQhgQSy",CyrilRamaphosa,18,4,6,South Africa
2021-03-04 08:21:00+00:00,1367389603230081026,"I wish to begin by paying tribute to our traditional leaders who have passed away over the past year.
 
We mourn their loss &amp; may their souls rest in peace.
 
Some of our leaders have passed away due to the deadly pandemic that is still very much with us.

https://t.co/GWicQhgQSy",CyrilRamaphosa,22,3,5,South Africa
2021-02-28 18:23:16+00:00,1366091616998596609,"This pandemic has taken much from us, but it has not taken our strength, our courage or our sense of solidarity as a people.
 
It has not dampened our spirit or weakened our resolve.

https://t.co/YAc8A9h2Jt",CyrilRamaphosa,68,24,27,South Africa
